id,join_dt,group,country,gender,device,total_spent
1003363,2023-01-30,A,USA,M,A,0
1003364,2023-01-27,A,GBR,,A,0
1003365,2023-01-25,B,USA,F,A,0
1003366,2023-01-26,B,GBR,F,I,0
1003367,2023-01-27,A,USA,M,A,0
1003368,2023-02-05,B,USA,M,I,0
1003369,2023-01-28,A,CAN,F,A,0
1003370,2023-01-25,B,GBR,,A,0
1003371,2023-01-25,A,CAN,M,A,0
1003373,2023-01-31,B,MEX,M,A,0
1003374,2023-01-26,B,BRA,M,A,0
1003375,2023-01-25,A,CAN,M,I,0
1003376,2023-01-25,B,CAN,F,A,67.36
1003377,2023-01-26,A,DEU,F,A,0
1003378,2023-01-25,A,USA,M,I,0
1003379,2023-01-27,A,USA,F,I,0
1003380,2023-01-31,B,USA,M,A,0
1003382,2023-01-25,A,BRA,F,I,0
1003383,2023-01-25,A,USA,O,A,0
1003384,2023-01-26,A,MEX,M,A,0
1003385,2023-01-26,A,CAN,F,A,0
1003386,2023-01-29,A,USA,F,A,0
1003387,2023-01-26,B,TUR,M,A,0
1003388,2023-02-04,B,MEX,M,A,0
1003389,2023-01-25,B,USA,F,A,0
1003390,2023-01-26,B,BRA,F,I,0
1003391,2023-01-31,B,MEX,M,I,0
1003392,2023-01-31,B,GBR,M,I,0
1003393,2023-01-25,A,USA,O,I,0
1003394,2023-01-29,B,USA,,I,0
1003395,2023-01-25,A,ESP,F,I,102.44
1003396,2023-01-27,A,USA,F,A,0
1003397,2023-01-31,A,DEU,M,I,0
1003398,2023-02-06,B,USA,F,I,0
1003399,2023-01-31,B,BRA,F,A,0
1003400,2023-01-28,B,FRA,O,A,0
1003401,2023-02-04,A,DEU,F,I,0
1003402,2023-02-02,B,BRA,M,A,0
1003403,2023-01-25,A,AUS,M,A,0
1003404,2023-02-02,B,TUR,F,I,0
1003405,2023-01-26,A,GBR,F,A,0
1003406,2023-01-26,B,MEX,F,I,0
1003407,2023-01-31,B,USA,M,I,0
1003408,2023-02-02,B,BRA,F,A,0
1003409,2023-02-03,A,,F,A,0
1003410,2023-02-01,A,TUR,F,I,0
1003411,2023-01-25,B,GBR,M,A,0
1003412,2023-01-27,A,AUS,F,I,0
1003413,2023-01-28,A,USA,M,I,0
1003414,2023-02-04,B,BRA,M,I,0
1003416,2023-01-28,B,USA,F,I,0
1003417,2023-01-25,B,USA,M,I,0
1003418,2023-01-25,B,TUR,M,I,0
1003419,2023-02-05,A,TUR,M,A,0
1003420,2023-01-28,B,DEU,M,I,0
1003421,2023-01-25,B,USA,F,I,0
1003422,2023-01-25,A,DEU,,I,0
1003423,2023-01-31,A,USA,M,A,0
1003424,2023-02-01,B,BRA,F,A,0
1003425,2023-01-25,A,USA,O,A,0
1003426,2023-01-28,B,FRA,F,A,0
1003427,2023-01-28,B,ESP,,I,0
1003428,2023-01-25,B,USA,F,I,0
1003429,2023-02-06,A,BRA,,A,0
1003430,2023-01-31,A,DEU,,A,0
1003431,2023-01-26,A,USA,F,A,0
1003432,2023-01-29,A,USA,F,A,0
1003433,2023-01-26,A,AUS,F,I,0
1003434,2023-01-31,B,BRA,M,A,0
1003435,2023-02-02,B,ESP,,A,0
1003436,2023-01-26,A,GBR,M,A,0
1003437,2023-01-26,A,BRA,M,A,0
1003438,2023-01-26,B,AUS,,A,0
1003439,2023-01-26,A,BRA,O,A,0
1003440,2023-02-01,B,USA,F,I,172.96
1003441,2023-01-31,B,TUR,F,I,0
1003442,2023-01-26,B,BRA,M,A,0
1003443,2023-02-06,A,TUR,F,A,0
1003444,2023-01-27,B,USA,M,A,0
1003445,2023-01-27,B,MEX,M,A,0
1003446,2023-01-25,B,USA,O,I,0
1003447,2023-01-27,A,DEU,O,I,0
1003448,2023-01-27,B,GBR,M,A,0
1003449,2023-01-25,A,CAN,F,A,0
1003450,2023-02-05,B,USA,F,I,0
1003451,2023-01-25,A,USA,M,A,0
1003452,2023-02-02,A,BRA,F,I,46.62
1003453,2023-01-28,B,BRA,F,I,0
1003454,2023-01-25,A,,M,A,0
1003455,2023-01-25,B,MEX,F,A,0
1003456,2023-01-25,A,MEX,,I,0
1003457,2023-01-26,B,DEU,O,A,0
1003458,2023-02-03,A,TUR,M,A,0
1003460,2023-01-31,A,MEX,M,I,0
1003462,2023-02-04,A,USA,O,I,0
1003463,2023-01-30,A,TUR,,I,0
1003464,2023-01-28,B,MEX,F,A,0
1003465,2023-01-29,A,BRA,M,A,0
1003466,2023-01-25,A,FRA,F,A,0
1003467,2023-01-29,A,DEU,,I,0
1003468,2023-01-30,B,USA,M,A,0
1003469,2023-01-28,A,BRA,F,I,0
1003470,2023-01-26,A,ESP,F,A,0
1003471,2023-01-25,A,USA,,A,0
1003472,2023-02-03,B,BRA,M,A,0
1003473,2023-01-28,B,BRA,,A,0
1003474,2023-02-02,A,BRA,F,A,0
1003475,2023-01-25,B,MEX,F,A,0
1003476,2023-01-28,B,BRA,F,I,0
1003477,2023-01-29,B,AUS,M,A,0
1003478,2023-01-26,A,TUR,F,A,0
1003479,2023-01-25,A,MEX,F,A,0
1003480,2023-01-25,A,MEX,F,I,0
1003481,2023-01-27,A,MEX,F,A,0
1003483,2023-01-25,B,ESP,M,A,0
1003484,2023-01-25,B,FRA,M,I,0
1003485,2023-01-25,A,USA,F,A,0
1003486,2023-01-28,B,GBR,M,A,0
1003487,2023-01-28,A,USA,M,I,0
1003488,2023-01-26,A,BRA,M,I,255.66
1003489,2023-01-26,B,BRA,F,I,0
1003490,2023-01-25,B,USA,M,A,0
1003491,2023-01-28,B,DEU,M,I,0
1003492,2023-02-01,A,USA,F,A,0
1003493,2023-02-02,A,FRA,F,A,0
1003494,2023-01-26,B,CAN,M,A,0
1003495,2023-01-28,B,GBR,M,A,0
1003496,2023-01-25,B,DEU,F,A,0
1003497,2023-01-26,A,USA,M,A,0
1003498,2023-01-25,A,USA,F,A,0
1003499,2023-01-29,B,DEU,M,A,0
1003500,2023-01-29,A,USA,F,A,0
1003501,2023-01-25,B,USA,M,I,0
1003502,2023-01-26,B,DEU,F,A,0
1003503,2023-01-27,A,USA,O,A,0
1003504,2023-02-03,B,USA,M,I,0
1003505,2023-02-01,B,USA,M,I,0
1003506,2023-01-29,B,USA,,I,0
1003507,2023-01-29,B,MEX,M,I,0
1003508,2023-01-26,B,GBR,,A,0
1003509,2023-01-29,B,GBR,M,I,0
1003510,2023-01-30,A,FRA,F,A,0
1003511,2023-01-25,A,GBR,M,I,0
1003512,2023-01-28,A,DEU,F,A,0
1003513,2023-01-26,A,MEX,O,A,0
1003514,2023-01-29,B,USA,F,A,0
1003515,2023-02-04,A,USA,F,I,0
1003516,2023-01-30,B,USA,,A,61.73
1003517,2023-01-29,A,USA,F,I,0
1003518,2023-01-26,A,DEU,,I,0
1003519,2023-01-25,B,GBR,M,A,37.96
1003520,2023-01-28,A,GBR,M,A,0
1003521,2023-01-25,B,BRA,F,I,0
1003522,2023-01-26,A,GBR,M,I,0
1003523,2023-01-30,A,CAN,F,A,0
1003524,2023-01-26,B,BRA,M,A,0
1003525,2023-01-31,A,ESP,F,A,0
1003526,2023-01-27,B,USA,M,A,0
1003527,2023-01-31,B,USA,M,A,0
1003528,2023-01-25,A,USA,O,A,0
1003529,2023-02-02,B,USA,M,A,0
1003530,2023-01-25,A,ESP,,A,0
1003531,2023-02-01,A,BRA,F,I,0
1003532,2023-01-25,B,BRA,M,A,0
1003533,2023-01-28,A,USA,F,A,0
1003534,2023-01-27,A,USA,M,A,0
1003535,2023-02-04,A,GBR,M,I,0
1003536,2023-01-25,A,DEU,M,I,0
1003537,2023-01-25,B,USA,M,A,0
1003538,2023-02-06,B,AUS,M,I,0
1003539,2023-02-04,A,USA,M,I,0
1003540,2023-01-30,B,TUR,F,A,0
1003541,2023-02-03,A,FRA,M,I,0
1003542,2023-02-04,B,MEX,M,A,0
1003543,2023-01-25,A,CAN,O,A,0
1003544,2023-01-27,B,BRA,F,A,0
1003545,2023-01-28,B,USA,M,A,0
1003546,2023-01-28,B,DEU,M,A,0
1003547,2023-01-25,B,USA,M,A,0
1003548,2023-01-28,A,USA,O,I,0
1003549,2023-02-02,A,BRA,M,A,0
1003550,2023-01-25,A,CAN,M,A,0
1003551,2023-01-28,A,MEX,,I,0
1003552,2023-01-31,A,BRA,M,I,0
1003553,2023-01-27,A,BRA,F,A,0
1003554,2023-01-30,A,MEX,F,A,0
1003555,2023-01-25,A,DEU,F,A,0
1003556,2023-02-06,A,DEU,,A,0
1003557,2023-01-27,A,BRA,F,A,0
1003558,2023-01-29,A,FRA,M,I,0
1003559,2023-01-26,A,USA,M,A,0
1003560,2023-01-26,B,USA,F,I,0
1003561,2023-01-27,B,FRA,F,A,0
1003562,2023-01-25,A,GBR,F,A,0
1003564,2023-01-25,A,MEX,,I,0
1003565,2023-01-26,B,USA,M,I,0
1003566,2023-01-25,A,AUS,O,A,0
1003567,2023-01-28,B,MEX,F,I,0
1003568,2023-01-28,B,BRA,M,I,0
1003569,2023-01-26,B,CAN,F,A,41.89
1003570,2023-01-25,A,BRA,F,A,0
1003571,2023-01-26,A,USA,F,I,0
1003572,2023-01-26,B,MEX,M,A,0
1003573,2023-01-26,A,ESP,M,A,0
1003574,2023-01-27,A,FRA,,A,0
1003575,2023-01-28,A,BRA,F,A,0
1003576,2023-01-30,A,USA,M,A,0
1003577,2023-01-25,A,DEU,M,I,0
1003578,2023-01-26,B,BRA,M,A,0
1003579,2023-02-01,A,USA,F,A,0
1003580,2023-01-29,A,BRA,M,I,0
1003581,2023-01-26,B,USA,M,A,0
1003582,2023-01-27,B,TUR,F,A,0
1003583,2023-01-31,A,MEX,M,A,0
1003584,2023-01-31,B,BRA,M,A,0
1003585,2023-01-25,A,TUR,F,I,0
1003586,2023-01-27,A,BRA,,A,0
1003587,2023-02-03,A,BRA,F,I,0
1003588,2023-01-27,B,ESP,M,I,0
1003589,2023-01-27,B,BRA,M,A,0
1003590,2023-02-04,A,BRA,M,A,0
1003591,2023-01-25,A,ESP,,A,0
1003592,2023-01-28,A,FRA,F,A,0
1003593,2023-01-28,A,AUS,F,A,0
1003594,2023-01-29,B,AUS,F,I,0
1003595,2023-01-31,B,BRA,M,I,18.11
1003596,2023-01-27,B,USA,M,A,0
1003597,2023-01-30,A,BRA,M,I,0
1003598,2023-01-25,B,BRA,M,A,0
1003599,2023-01-29,B,MEX,M,A,0
1003600,2023-02-05,A,FRA,F,A,0
1003601,2023-01-25,A,TUR,F,A,0
1003603,2023-01-25,B,TUR,M,A,0
1003604,2023-01-28,A,USA,F,I,0
1003605,2023-01-25,B,USA,M,A,0
1003606,2023-01-26,B,FRA,M,I,0
1003607,2023-02-04,B,ESP,M,A,0
1003608,2023-02-01,B,FRA,F,I,0
1003609,2023-01-28,A,DEU,,I,0
1003610,2023-01-25,B,MEX,F,A,0
1003611,2023-01-26,B,MEX,,A,0
1003612,2023-01-30,B,MEX,F,A,0
1003613,2023-02-01,B,MEX,M,A,0
1003615,2023-01-26,A,USA,M,A,0
1003616,2023-01-26,B,DEU,F,A,84.2
1003617,2023-01-27,B,USA,F,A,0
1003618,2023-01-25,A,GBR,M,A,0
1003619,2023-01-25,A,TUR,M,A,0
1003620,2023-01-25,A,BRA,,A,0
1003621,2023-02-06,A,AUS,M,I,0
1003622,2023-02-02,A,USA,M,A,0
1003623,2023-02-01,A,BRA,F,A,0
1003624,2023-02-01,A,,F,A,0
1003625,2023-01-27,B,MEX,O,I,0
1003626,2023-01-25,A,MEX,,I,0
1003627,2023-02-04,B,MEX,F,A,0
1003628,2023-01-28,A,MEX,M,I,0
1003629,2023-01-26,A,DEU,,I,0
1003630,2023-02-01,A,GBR,M,A,0
1003631,2023-01-28,A,USA,F,A,0
1003632,2023-01-26,A,ESP,,A,0
1003633,2023-01-31,A,AUS,M,A,0
1003634,2023-01-25,B,USA,M,I,0
1003635,2023-01-28,B,USA,,I,0
1003636,2023-01-26,A,AUS,,,0
1003637,2023-01-30,A,BRA,F,I,0
1003638,2023-01-28,A,FRA,M,I,0
1003639,2023-02-04,A,MEX,F,I,0
1003640,2023-01-27,A,USA,,A,16.62
1003641,2023-01-28,A,BRA,F,I,0
1003642,2023-01-26,B,CAN,M,I,0
1003643,2023-01-27,A,MEX,M,I,0
1003644,2023-01-26,A,TUR,M,A,0
1003645,2023-01-31,B,BRA,M,A,0
1003646,2023-01-25,A,ESP,F,A,0
1003647,2023-01-25,A,BRA,F,I,0
1003648,2023-01-30,A,ESP,,A,0
1003649,2023-02-05,A,BRA,M,A,0
1003650,2023-01-27,B,MEX,F,I,0
1003651,2023-01-29,A,BRA,F,A,0
1003652,2023-01-31,B,BRA,M,A,0
1003653,2023-01-29,B,GBR,M,I,0
1003654,2023-01-27,A,DEU,F,I,0
1003655,2023-01-27,A,DEU,F,A,0
1003656,2023-02-05,A,ESP,M,A,0
1003657,2023-01-25,B,MEX,F,I,0
1003658,2023-01-25,B,BRA,F,A,0
1003659,2023-01-29,B,USA,F,I,0
1003660,2023-02-05,A,FRA,F,A,0
1003661,2023-01-28,B,TUR,F,A,0
1003662,2023-01-31,B,BRA,F,A,0
1003663,2023-01-25,A,BRA,,I,164.36
1003664,2023-01-29,A,USA,O,I,0
1003665,2023-02-03,B,USA,F,A,0
1003666,2023-01-25,B,USA,O,A,0
1003667,2023-02-05,B,BRA,F,A,0
1003668,2023-01-29,A,DEU,F,A,0
1003669,2023-01-26,A,USA,M,A,0
1003670,2023-01-26,B,USA,M,A,0
1003671,2023-01-27,B,CAN,F,I,0
1003672,2023-01-25,A,MEX,F,A,0
1003673,2023-01-27,B,MEX,,A,0
1003674,2023-01-27,A,TUR,M,I,0
1003675,2023-01-30,B,DEU,F,A,0
1003676,2023-01-27,B,AUS,M,A,0
1003677,2023-01-26,B,MEX,F,I,0
1003678,2023-02-02,A,FRA,M,A,0
1003679,2023-02-05,B,USA,F,A,0
1003680,2023-01-28,A,ESP,,A,0
1003681,2023-01-30,B,USA,,A,22.51
1003682,2023-01-25,A,USA,F,I,0
1003683,2023-01-28,A,MEX,M,I,0
1003684,2023-01-31,A,BRA,F,A,0
1003685,2023-01-27,A,MEX,M,A,0
1003687,2023-01-29,A,GBR,F,I,0
1003688,2023-01-26,A,ESP,F,A,0
1003690,2023-01-31,B,USA,M,A,0
1003691,2023-01-29,A,FRA,F,A,0
1003692,2023-01-28,B,BRA,F,A,0
1003693,2023-02-04,A,USA,F,A,0
1003694,2023-01-30,A,BRA,M,A,0
1003695,2023-01-25,B,DEU,F,I,0
1003696,2023-02-03,A,TUR,F,A,0
1003697,2023-01-25,A,BRA,,I,85.52
1003698,2023-01-25,B,GBR,F,A,0
1003699,2023-01-26,B,,F,A,7.54
1003700,2023-01-28,B,USA,M,I,0
1003701,2023-01-25,B,BRA,F,I,0
1003702,2023-01-28,B,GBR,M,I,0
1003703,2023-01-25,A,FRA,F,A,0
1003704,2023-01-26,A,MEX,M,A,0
1003705,2023-01-28,A,BRA,,A,0
1003706,2023-01-27,B,ESP,M,A,0
1003707,2023-01-29,A,GBR,F,A,0
1003708,2023-01-25,A,USA,M,A,0
1003709,2023-01-25,B,BRA,M,A,0
1003710,2023-01-27,B,BRA,F,A,0
1003711,2023-02-02,B,FRA,M,I,0
1003712,2023-01-26,A,BRA,F,I,0
1003713,2023-01-25,A,MEX,,I,0
1003714,2023-01-27,B,DEU,F,A,0
1003715,2023-01-27,B,DEU,F,A,0
1003716,2023-01-25,A,MEX,M,I,0
1003717,2023-01-30,B,FRA,,A,0
1003718,2023-02-05,A,CAN,M,I,0
1003719,2023-01-26,B,BRA,M,I,0
1003720,2023-01-28,A,TUR,F,A,0
1003721,2023-01-26,A,USA,,A,0
1003722,2023-01-25,B,ESP,F,A,0
1003723,2023-02-03,B,USA,F,A,0
1003725,2023-01-26,A,CAN,M,I,0
1003726,2023-01-28,A,CAN,M,I,0
1003727,2023-01-25,A,BRA,,I,0
1003728,2023-01-29,B,TUR,,A,0
1003729,2023-02-01,B,MEX,F,A,0
1003730,2023-01-25,B,DEU,M,A,0
1003731,2023-02-01,B,GBR,F,A,0
1003732,2023-01-26,A,GBR,F,I,0
1003733,2023-01-29,B,USA,F,I,0
1003734,2023-01-30,A,USA,F,A,0
1003735,2023-01-25,B,USA,,A,0
1003736,2023-01-26,A,DEU,M,A,0
1003737,2023-01-29,A,USA,F,A,0
1003739,2023-01-25,B,BRA,M,A,0
1003740,2023-01-25,A,DEU,F,A,0
1003741,2023-01-26,A,BRA,F,A,0
1003742,2023-01-29,B,BRA,F,A,0
1003743,2023-02-02,A,BRA,,A,0
1003744,2023-01-26,B,DEU,M,A,0
1003745,2023-02-05,A,BRA,M,A,0
1003746,2023-02-04,B,GBR,M,I,0
1003747,2023-01-28,B,ESP,,I,0
1003748,2023-01-27,A,USA,M,A,0
1003749,2023-01-26,B,USA,M,A,0
1003750,2023-01-26,B,MEX,M,I,0
1003751,2023-02-05,A,ESP,M,A,0
1003752,2023-01-28,B,USA,F,A,0
1003753,2023-01-26,B,BRA,M,I,0
1003754,2023-01-27,B,BRA,,A,0
1003755,2023-01-31,A,USA,F,A,0
1003756,2023-01-31,B,USA,F,I,0
1003757,2023-01-25,A,USA,F,A,0
1003758,2023-01-27,A,MEX,M,I,0
1003759,2023-02-01,A,USA,M,I,12.27
1003760,2023-01-26,A,USA,F,A,0
1003761,2023-02-04,A,BRA,M,A,0
1003762,2023-01-26,A,GBR,F,I,0
1003763,2023-01-25,A,GBR,M,A,0
1003766,2023-01-28,A,USA,M,I,83.97
1003767,2023-01-26,B,BRA,,I,0
1003768,2023-02-02,B,MEX,F,A,0
1003769,2023-01-28,A,BRA,,I,0
1003770,2023-02-04,B,USA,M,A,0
1003771,2023-02-06,B,MEX,M,A,0
1003772,2023-01-30,A,MEX,M,I,0
1003773,2023-02-02,A,USA,M,I,0
1003774,2023-01-25,A,TUR,F,A,0
1003775,2023-01-28,A,USA,M,A,0
1003776,2023-02-06,A,USA,M,A,0
1003777,2023-01-27,B,BRA,,A,0
1003778,2023-01-27,A,BRA,M,I,0
1003779,2023-01-29,B,BRA,M,,0
1003780,2023-01-26,A,USA,M,I,0
1003781,2023-01-26,A,BRA,M,A,0
1003782,2023-02-01,A,BRA,F,I,0
1003783,2023-02-06,A,BRA,M,A,0
1003784,2023-01-25,B,FRA,M,A,0
1003785,2023-02-01,B,TUR,F,I,0
1003786,2023-01-25,A,USA,,I,0
1003787,2023-01-27,A,GBR,F,I,0
1003788,2023-02-01,A,MEX,F,I,0
1003789,2023-01-25,A,FRA,F,A,0
1003790,2023-02-04,B,MEX,M,A,0
1003791,2023-01-25,B,BRA,O,A,0
1003792,2023-02-06,B,USA,F,A,0
1003793,2023-01-29,B,GBR,F,A,0
1003794,2023-01-25,A,GBR,M,A,0
1003795,2023-01-30,B,FRA,M,A,0
1003796,2023-01-25,A,BRA,M,A,0
1003797,2023-01-27,A,USA,,I,0
1003798,2023-01-30,A,BRA,,A,0
1003799,2023-01-27,A,USA,M,A,0
1003800,2023-01-25,A,USA,F,A,0
1003801,2023-01-25,A,USA,M,I,0
1003802,2023-01-25,B,BRA,,A,38.98
1003803,2023-01-25,B,ESP,F,A,0
1003804,2023-01-26,A,AUS,F,A,0
1003805,2023-01-26,A,BRA,F,A,0
1003806,2023-02-02,A,DEU,F,A,0
1003807,2023-02-03,A,USA,M,A,0
1003808,2023-02-02,A,USA,M,A,0
1003809,2023-01-26,B,BRA,M,A,0
1003810,2023-02-01,B,TUR,M,A,0
1003811,2023-01-27,B,BRA,M,A,0
1003812,2023-01-27,A,USA,M,A,0
1003813,2023-02-01,B,USA,F,I,0
1003814,2023-01-25,B,FRA,M,A,0
1003815,2023-01-28,A,BRA,M,A,0
1003816,2023-02-06,A,BRA,,A,173.55
1003817,2023-01-25,A,USA,F,A,0
1003818,2023-01-31,B,USA,M,A,0
1003819,2023-01-31,A,ESP,F,I,0
1003820,2023-01-27,A,BRA,M,A,0
1003821,2023-01-27,A,BRA,M,A,0
1003822,2023-02-02,B,FRA,F,I,0
1003823,2023-01-26,A,USA,F,I,40.21
1003824,2023-01-27,A,USA,M,A,0
1003825,2023-01-31,A,DEU,F,A,0
1003826,2023-01-25,B,ESP,M,A,0
1003827,2023-01-26,A,DEU,M,I,0
1003828,2023-01-27,A,USA,F,I,0
1003829,2023-01-25,A,BRA,M,I,0
1003830,2023-01-26,A,ESP,M,A,0
1003831,2023-01-27,A,MEX,F,I,46.81
1003832,2023-02-01,B,USA,F,A,0
1003833,2023-01-28,A,TUR,F,A,0
1003834,2023-01-25,B,USA,,A,0
1003835,2023-01-29,A,MEX,M,A,0
1003836,2023-01-25,B,MEX,F,A,0
1003837,2023-01-25,A,GBR,F,I,0
1003838,2023-02-02,A,USA,F,I,0
1003839,2023-01-30,B,MEX,F,A,0
1003840,2023-01-26,B,ESP,,A,0
1003841,2023-01-26,B,USA,M,I,0
1003842,2023-01-27,A,TUR,M,A,0
1003843,2023-01-28,B,USA,,A,0
1003844,2023-01-25,B,FRA,F,I,0
1003845,2023-01-26,B,TUR,F,A,0
1003846,2023-01-30,B,CAN,M,I,0
1003847,2023-01-25,B,CAN,M,I,0
1003848,2023-01-28,B,USA,M,A,0
1003849,2023-01-26,A,USA,F,I,0
1003850,2023-02-05,A,BRA,O,I,0
1003851,2023-01-31,B,BRA,F,I,0
1003852,2023-01-27,A,ESP,F,A,0
1003853,2023-01-26,B,TUR,F,A,0
1003854,2023-01-31,B,USA,M,A,0
1003855,2023-02-03,A,MEX,M,A,0
1003856,2023-01-29,B,BRA,F,A,0
1003857,2023-02-05,B,AUS,M,I,0
1003858,2023-01-25,B,USA,F,I,0
1003859,2023-01-27,A,USA,M,I,0
1003860,2023-01-26,A,DEU,F,A,0
1003861,2023-01-25,A,DEU,M,A,0
1003862,2023-01-25,B,BRA,F,A,0
1003863,2023-01-28,A,CAN,M,I,0
1003864,2023-01-28,B,FRA,M,A,0
1003865,2023-01-25,A,,M,I,0
1003866,2023-01-29,A,MEX,M,I,0
1003867,2023-01-28,A,BRA,M,I,0
1003868,2023-01-29,A,CAN,F,I,0
1003869,2023-01-25,A,DEU,M,I,0
1003870,2023-01-26,B,DEU,F,I,0
1003871,2023-01-25,B,ESP,F,I,0
1003872,2023-01-25,B,USA,,I,0
1003873,2023-01-25,A,TUR,,I,0
1003874,2023-01-29,A,DEU,M,A,0
1003875,2023-01-26,B,USA,,I,233.25
1003876,2023-02-01,A,MEX,,I,0
1003877,2023-02-01,A,USA,F,A,0
1003878,2023-01-27,B,BRA,M,A,0
1003879,2023-01-25,A,FRA,M,A,0
1003880,2023-01-31,A,USA,F,I,0
1003881,2023-01-26,A,FRA,F,A,0
1003882,2023-01-25,A,USA,M,A,0
1003883,2023-01-25,B,DEU,M,I,0
1003884,2023-02-02,A,BRA,M,I,0
1003885,2023-01-26,A,TUR,M,A,0
1003886,2023-01-25,B,BRA,F,A,0
1003887,2023-01-27,B,AUS,M,A,0
1003888,2023-01-25,B,MEX,,A,0
1003889,2023-01-25,A,MEX,F,I,0
1003890,2023-02-05,B,BRA,F,A,0
1003891,2023-02-02,A,BRA,M,A,0
1003892,2023-01-25,B,USA,M,A,0
1003893,2023-02-05,B,DEU,F,I,0
1003894,2023-01-30,B,BRA,M,A,0
1003895,2023-01-25,A,BRA,F,A,0
1003896,2023-01-28,A,TUR,F,A,0
1003897,2023-01-26,A,BRA,O,A,0
1003898,2023-01-28,B,USA,F,A,0
1003899,2023-01-28,A,USA,F,I,0
1003900,2023-02-01,B,DEU,M,I,0
1003901,2023-01-26,A,GBR,M,A,0
1003902,2023-01-27,B,BRA,F,I,0
1003903,2023-01-31,A,USA,F,A,0
1003904,2023-01-29,A,BRA,F,A,0
1003905,2023-01-25,A,TUR,,A,0
1003906,2023-01-26,A,BRA,M,A,0
1003907,2023-01-28,A,BRA,M,A,0
1003908,2023-02-05,B,TUR,M,I,0
1003909,2023-02-01,A,BRA,F,A,0
1003910,2023-01-27,B,BRA,M,A,0
1003911,2023-01-26,B,USA,F,I,0
1003912,2023-01-26,A,MEX,M,I,0
1003913,2023-02-05,A,TUR,M,A,0
1003914,2023-01-25,B,ESP,F,I,93.94
1003915,2023-01-26,B,USA,F,A,0
1003916,2023-01-27,A,MEX,M,A,0
1003917,2023-02-01,A,TUR,F,I,0
1003918,2023-01-25,A,BRA,M,A,0
1003919,2023-01-25,A,TUR,F,A,0
1003920,2023-01-25,A,BRA,F,I,0
1003921,2023-01-30,B,BRA,F,I,0
1003922,2023-01-25,A,USA,M,A,0
1003923,2023-01-25,B,USA,F,I,0
1003924,2023-01-27,A,USA,O,,0
1003925,2023-01-26,B,USA,,A,0
1003926,2023-01-30,A,GBR,M,I,0
1003927,2023-01-25,B,FRA,M,A,0
1003928,2023-01-28,B,USA,M,A,0
1003929,2023-01-25,A,USA,,I,0
1003930,2023-01-28,A,USA,F,A,80.17
1003931,2023-01-28,B,USA,M,A,0
1003932,2023-01-29,B,USA,,A,0
1003933,2023-01-27,A,MEX,F,I,0
1003934,2023-01-26,B,USA,F,A,0
1003935,2023-01-25,B,TUR,M,I,0
1003936,2023-01-27,A,MEX,,A,0
1003937,2023-01-27,A,DEU,M,A,0
1003938,2023-01-31,B,FRA,M,I,0
1003939,2023-01-26,A,DEU,F,A,0
1003940,2023-01-29,A,GBR,M,I,0
1003941,2023-01-27,A,MEX,,,844.7
1003942,2023-01-25,A,BRA,M,A,0
1003943,2023-01-27,A,USA,,I,0
1003944,2023-01-25,A,TUR,F,A,0
1003945,2023-01-30,A,DEU,F,I,0
1003946,2023-01-28,A,MEX,,A,0
1003947,2023-01-28,A,USA,M,A,0
1003948,2023-01-30,A,TUR,,I,0
1003949,2023-01-25,A,BRA,M,A,0
1003950,2023-01-27,A,MEX,,A,0
1003951,2023-02-02,A,FRA,M,I,0
1003952,2023-01-26,B,CAN,F,A,0
1003953,2023-01-29,A,USA,M,A,0
1003954,2023-01-26,A,BRA,M,I,0
1003955,2023-02-05,A,USA,M,A,0
1003956,2023-01-25,A,USA,F,A,0
1003957,2023-01-25,B,BRA,F,A,0
1003958,2023-01-25,A,ESP,F,A,0
1003959,2023-01-27,A,MEX,,I,19.06
1003960,2023-01-25,A,FRA,F,I,0
1003961,2023-01-26,B,TUR,M,A,0
1003962,2023-02-04,B,BRA,,A,0
1003963,2023-01-25,A,MEX,,A,0
1003964,2023-02-01,B,FRA,M,I,0
1003965,2023-02-02,A,USA,,I,0
1003966,2023-01-28,A,USA,M,I,0
1003967,2023-01-26,B,BRA,,A,0
1003968,2023-01-25,A,AUS,F,A,0
1003969,2023-01-25,A,BRA,M,A,0
1003970,2023-01-25,A,USA,M,I,0
1003971,2023-01-25,B,USA,M,I,0
1003972,2023-01-25,B,BRA,M,A,0
1003973,2023-01-27,B,GBR,F,I,0
1003974,2023-01-25,A,USA,M,A,0
1003975,2023-01-26,B,GBR,M,I,0
1003976,2023-02-05,B,DEU,F,I,0
1003977,2023-01-25,B,TUR,F,A,0
1003978,2023-02-01,B,BRA,M,A,0
1003979,2023-01-27,B,,F,A,0
1003980,2023-02-01,A,FRA,F,I,0
1003981,2023-01-25,A,CAN,M,A,0
1003982,2023-01-30,B,MEX,M,A,0
1003983,2023-02-03,B,BRA,M,I,0
1003984,2023-02-01,A,USA,M,I,0
1003985,2023-01-26,A,MEX,,A,0
1003986,2023-01-28,A,USA,F,I,0
1003987,2023-01-28,A,GBR,M,A,0
1003988,2023-01-25,A,DEU,M,I,0
1003989,2023-01-27,B,MEX,F,A,0
1003990,2023-01-28,B,USA,,A,0
1003991,2023-02-04,A,TUR,F,I,0
1003992,2023-02-04,A,TUR,F,A,0
1003993,2023-01-25,A,USA,M,I,0
1003994,2023-02-02,B,BRA,,I,0
